tconst	averageRating
tt0074310	5.5
tt0074311	6.5
tt0074312	7.3
tt0074313	6.1
tt0074315	8.1
tt0074316	7
tt0074319	5.9
tt0074320	4.5
tt0074321	4.4
tt0074323	5.6
tt0074325	5.1
tt0074332	5
tt0074333	6.2
tt0074334	8
tt0074335	6
tt0074336	6.3
tt0074339	6
tt0074340	6.4
tt0074342	5.2
tt0074343	4.3
tt0074344	6.6
tt0074345	6.4
tt0074347	6.3
tt0074348	6.7
tt0074349	6.4
tt0074351	6.2
tt0074352	6.2
tt0074354	7
tt0074355	5.8
tt0074356	5
tt0074358	5.9
tt0074360	8
tt0074362	4.5
tt0074363	4.8
tt0074364	5.1
tt0074366	7.3
tt0074367	6.2
tt0074370	6.9
tt0074372	5.1
tt0074377	6.6
tt0074379	5.1
tt0074380	4.5
tt0074381	5.9
tt0074383	4
tt0074385	5.4
tt0074387	3.8
tt0074388	6.4
tt0074389	3.5
tt0074390	3.6
tt0074391	5.3
tt0074392	5
tt0074393	6.8
tt0074395	4.6
tt0074396	7.2
tt0074397	4.1
tt0074398	8
tt0074399	4.5
tt0074400	7.5
tt0074401	5
tt0074403	5.8
tt0074404	6.8
tt0074405	6.7
tt0074407	5.7
tt0074408	5.4
tt0074409	5.2
tt0074410	4.9
tt0074412	5.3
tt0074415	5.2
tt0074417	6.8
tt0074418	5.9
tt0074419	4.8
tt0074420	5.5
tt0074422	6.8
tt0074423	6.6
tt0074424	5.9
tt0074426	4.5
tt0074427	4.9
tt0074430	5.2
tt0074433	6.4
tt0074434	3.6
tt0074435	6.2
tt0074437	5.4
tt0074438	6.3
tt0074439	5.2
tt0074440	6.3
tt0074441	5.7
tt0074442	7.2
tt0074443	7.2
tt0074444	4.8
tt0074445	5.1
tt0074446	7.2
tt0074447	7.8
tt0074448	7
tt0074450	6.5
tt0074451	6
tt0074452	6.9
tt0074454	5.4
tt0074455	5.5
tt0074456	7.1
tt0074459	6.5
tt0074460	6.6
tt0074465	6.4
tt0074466	5.8
tt0074467	4.7
tt0074469	3.8
tt0074470	6
tt0074471	3.8
tt0074472	5.4
tt0074473	5.2
tt0074474	4.3
tt0074475	5.1
tt0074476	4.2
tt0074477	6.2
tt0074478	4.4
tt0074479	3.8
tt0074480	6.3
tt0074481	6
tt0074483	6.7
tt0074484	4.5
tt0074486	7.4
tt0074487	7.1
tt0074491	6.2
tt0074492	3.8
tt0074494	5.2
tt0074495	6.7
tt0074496	3.7
tt0074497	4.2
tt0074498	4.2
tt0074499	4.8
tt0074501	4.4
tt0074502	5.8
tt0074504	3.2
tt0074506	5.1
tt0074507	6.1
tt0074508	6.8
tt0074510	6.4
tt0074511	5.4
tt0074512	6.8
tt0074513	6.2
tt0074515	7
tt0074516	3.8
tt0074520	7.2
tt0074521	6.4
tt0074522	7.2
tt0074523	6.4
tt0074524	6.6
tt0074526	6.7
tt0074529	5.7
tt0074530	5.1
tt0074531	4.9
tt0074532	4.1
tt0074533	5.3
tt0074534	6
tt0074539	6
tt0074540	4.6
tt0074541	7.4
tt0074542	6.9
tt0074543	6.4
tt0074544	7
tt0074547	4.8
tt0074548	4.6
tt0074550	6.1
tt0074552	5.6
tt0074553	6.6
tt0074554	7.3
tt0074556	5.2
tt0074557	3.3
tt0074559	5.8
tt0074560	7.7
tt0074562	5.2
tt0074563	6.3
tt0074564	5.8
tt0074565	7.9
tt0074566	6.1
tt0074567	7.5
tt0074569	4.4
tt0074570	4.6
tt0074572	6.9
tt0074573	7.7
